text,label
ول دنبال زو زیاد هستید دیافراگ خیل برا مه نیس دوربین به P ۵۱۰ رنج ۱۰۰۰ میلی هس .,2
حال نرم‌افزار OCR کاملا شگفت‌زده شد صورت موفق توانس سند A ۴ فایل متن تبدیل کند .,2
من امروز تو پیشنهاد ویژه خریدم ببین چطوره بعدا نقد می‌کن !,1
توانا زو ۵ برابر خیل مناسب ول همه به کمینه نسب کانون f / ۲ ٫ ۸ باعث می‌شود عملکرد دوربین شرایط نور ضعیف خیل بهبود یابد .,2
سم راس تن کلید ک زیاد کردن صدا وجود دارند .,1
۶ - ظرف باطر ۲۱۰۰ میلی‌آمپر همچن ک مشکل‌ساز زیرا سرع پردازنده زیاد شده باعث تخلیه سریع شارژ می‌شود ۷ - داغ شدن گوش هنگا باز آزار دهنده همانند مشکل سر X,0
اگه دنیا عقب برگرده بگن دوباره گوشیتو انتخاب کن تو رده قیم همین گوش اولینه !,1
ابعاد دوربین ، ۵۴ * ۶۸ * ۱۱۳ میلی وزن ، ۳۱۰ گر میز بدون باتر محاسبه‌شده .,1
نکته مورد مدیا پلیر گوش لاز ذکر .,1
لاز ذکر مشکل برنامه ، مربوط ب شهر نمی‌شود تمام شهر کوچک وجود دارد .,0
زیاد دسته من دوو نمی‌آورد ول حالا نمایندگ یه باتر قوی خرید شارژده دوبرابر شده کافیه .,1
۲. صفحه نما رتینا LED-backlit : واقعا شگفت‌انگیز .,2
به کم مورد مود عکاس P ، AV ، TV M توضیح بده .,1
امیدوار بلا هیچ نیاد,0
البته یک قیمت بالاس توجه قابلیت داره می‌ارزه .,2
تاچ پد نیز خوب طراحی‌شده حساس کیف بسیار بالا برخوردار .,2
فقط نظر تن عیب اینه یه .,0
کاربر حرفه هستید تمایل دارید همواره روز جدید نسخه سیستم‌عامل اندروید استفاده کنید ، Google Nexus ۴ به انتخاب شما خواهد_بود .,2
پردازنده ه مدلیس گوش Galaxy Nexus نیز استفاده‌شده پردازنده فوق‌العاده قدرتمندیس .,2
( Multitasking ) باز میزاره علاوه اینکه بهبود عملکرد کل سیس نق بسزا داره .,1
ps ۳ واقعا فوق‌العاده اس .,2
فقط مشکل اساس باتریه .,2
صور تمایل می‌توانید میکروفون عقب دوربین خامو کنید صدا پس‌زمینه ک کنید .,1
بنظر من هیچ وجه اندروید ۲ ٫ ۳ رو ارتقا ندید .,1
"نمایشگر ۳ اینچ ۲۳۰ , ۰۰۰ پیکسل کیف کیف خیل خوب دارد نسبتا بزرگ .",2
قصد دارید مد ز بیشتر ضبط ویدیو بپردازید می‌توانید کارت حافظه خارج استفاده نمایید .,1
نویز ایزو ۱۶۰۰ خوب کنترل می‌شود حال ایزو مقدار کاسته شدن غلظ رنگ بین رفتن جزئ مشاهده می‌گردد .,1
بعد اینکه اینقدر گفتن ۳ چراغ ۳ چراغ اگه اینطور باید بنداز تو آشغال من ۲ ساع ب با نمکن اینقدر !,0
ریختن آهنگ دستگاه یه برنامه داره خیل راح نصب میشه آهنگا مورد علاقتونو اونجا انتخاب میکنین محظ اینکه دستگاه رایانه وصل می‌کنید خودکار شروع انتقال میکنه خیل برنامه جالبیه .,2
من گوش رو ۵ شنبه دیج کالا گرف گوشیه سریع خوبیه انصافا تو رنج قیم واقعا گوش خوبیه سرع بالا گوش تاچ خوب داره حس خوب آد میده دوربین خوبه بد نیس کارا روزمررو راه میندازه براتون اگه خرید شک دارید ، بخرید لذ یه گوش خوب ، سریع قدرتمند سبک شیک رو ببرید,2
من خریدم ازهمه نظر عالیه ول تن مشکل داره سرع بسیار پایین اونه مثلا جزوه کتاب بخواهید اسکن کنید چند دقیقه وق شما می‌گیرد مزایا  می‌تو فتوکپ مستق دکمه تعبیه‌شده جلو بدنه  اشاره کرد من انتظار  ندا .,1
اینترن محدود ایر اپل تو کشور ما نیس اندروید نظر من حرف اول رو میزنه تو ایر,0
سولا بهتره صد صد من دو برابر پول سولا رو داد ول ارز ندا .,1
اینو پس عکاس بررس زو کردن تصویر داخل کامپیو متوجه خواهید_شد .,1
یه ساله خرید خیل ضعیف باز چ بگ هیچ کدو رو باز نمیکنه,0
شما می‌توانید طریق تصویر Live view رو دستگاه مشاهده کنید تنظ نورده دس بگیرید .,1
حدود ۲ ماه پ پسر دا می‌خواس اولین گوش هوشمندشو بخره تمایل زیاد خریدن برند سامسونگ دا .,1
سلا صفحه کلید سفته بعض وقتا قاط میکنه ول بدن محکمه,1
حال قسم سم چپ کنترل پنل دیده_می‌شود .,1
super amoled هست .,1
کل رابط فقط یه کابل USB ۳ هس ظاهر بسیار شیک خوشگل داره .,2
ز استفاده ب گوش قسم پ سم دوربین داغ می‌کند .,0
نسب تصویر نامناسب ، حافظه عد پشتیبان کار ۲.,0
ول همه حرف خیل عالیه ارز خریدن رو حتما داره .,2
هر صور همانطور گفت ، Nokia ۵۰۰ مناسب کاربران اولا علاقه‌مند گوشی نوکیا سیستم‌عامل سیمبین هستند ، دوما اینکه گوش هوشمند پر سرع لمس بدنه مستحک نه چند باریک می‌خواهند ضمن می‌خواهند قیم معقول بپردازند .,2
انت ، باید اذع کن وجود مشکل برنامه Maps کاستی iOS ۶ وجود دارد شاید اندروید ۴ وجود نداشته_باشد ، هنوز سیستم‌عامل سریع روان سیستم‌عامل موجود رو تلفن همراه تبلت شمار می‌رود کاربر راحت آرام فوق‌العاده اعطا می‌نماید .,2
هر صور دوربین تصاویر نمایشگر نما فاقد می‌باشد .,0
همه احترام اپل بان فقید ( جابز ) قائل هس .,1
تاچ عال نسب بقیه حت htc .,2
هر کار کرد مشکل رو کن متاسفانه نتونس .,0
علاوه پردازنده ، ASUS X کانفیگ  گرافیک کاملا On-Board کار گرافیک مستقل نیز موجود می‌باشد .,1
قیم گوش حت نزدیک پیدا نمی‌کنید .,2
شما اگه خوب به نگاه کنید میشید ب شبیه کتابخو هست .,0
لنز SX ۵۰۰ فواصل کانون ۲۴ - ۷۲۰ میلی پوش می‌دهد .,1
کیف فیلم‌بردار دوربین VGA نمی‌گذارد .,0
البته مقدار حال گسترده ۵۰ ۱۰۲۴۰۰ می‌باشد .,1
همچنین ۶۵۰ D برچسب کنترل چهار جهته رو دکمه قرار گرفته‌اند .,1
پس گو سیس کاه نویز درون دوربین یکباره می‌افتد البته مقدار می‌کند شاهد کاسته شدن غلظ رنگ مقدار جزئ هست .,0
اومدن آندروید دیگر ios هیچ جایگاه سیستم‌عامل جدید S S ۲ بالا Iphone ۴ s هست برند اپل رو نداره ۲ همین گوش قیمت بالا ۲ میلیون تومن .,0
فوج فیل منشور داخل چشم اپتیکال گالیله گذاشته کمک چشم الکترونیک می‌آید .,1
۵ -تعمیر راح تبل عل طراح اجزا داخل اون خیل راحت .,2
من ۵ باز اچ د نرم‌افزار رو باه بازکرد هیچ وجه اف سرع دیده نمیشه مولت تاچ بالا ۱۰ انگ رو ساپور میکنه .,2
کیف تصاویر تولید شده شفاف رنگ نیز کاملا طبیع زنده هستند .,2
پک عالیه من نسخه ۱۳ رو گرف مفید .,2
عکاس پیاپ سرع ۱۱ فر ثانیه می‌تواند انجا گیرد ول کاه ۸ مگاپیکسل رزولوشن می‌یابد .,0
شارژ آس کاتریج هزینه ناچیز ۱۰ هزار تو گرفتن ۱۵۰۰ برگ گاف .,2
کلا ۲ ایراد داره اول اینکه خیل سرو صدا داره دو پرین از زیاد انتظار اینکه خوب نداشته باشین چاپ رنگ تعریف نداره .,0
من خیل راض هس,2
دوربین فوجیتسو Stylistic M ۵۳۲ دوربین ۸ مگاپیکسل قرار داده_اس .,1
من قبول استایل زیاد جالب نداره معلومه سامسونگ کم عجله رو کرده .,0
اینکه فرامو کردن نما خامو روشن بودن نامبرلاک چراغ قرار بدن فقط کپس لاک چراغ تعبیه‌شده بد همه اینکه قرار داشتن هارد سم چپ ترکپد باعث داغ شدن ب حد تاچ خرید میشه منو نسب محصول سر بیزنس مایوس کرد ، پس حتما قبل پد آنلاین سع کنید حد المقدور درس بررس کنید بعد پشیمون نشید,0
اجرا باز عال اجرا برنامه عال آنتن ده عال همه لحاظ راضیتون می‌کنه .,2
چنان‌چه کنسول آکبند خریدار شود ، تشخیص این‌که درایو کنسول کدا مدل وجود ندارد درایو کنسول eject نشود نمی‌تو مدل آن‌را فهمید هیچ کدا مغازه دار نیز کنسول آکبند مشتر باز نمی‌کنند مگر آنکه ۱۰۰ ?,1
ابعاد گوش ۶۵ × ۱۲۹ قطر نیز ۱۰ ٫ ۷ میلی می‌باشد .,1
Iconia Tab A ۷۰۰ ، سر infinity تبل Huawei MediaPad ۱۰ FHD همگ صفحه نما ۱۰ اینچ رزولوشن فول اچ د کاربرد زیاد داشته بین آن تبل acer همه ارزان .,1
Event Selection نیز کارآ جالب دارد .,2
امروز دس رسید همونطور انتظار دا خوب خوش‌دس .,2
نباید هیچ انتظار دا .,0
بوسیله iMovie نیز می‌توانید ویدیو ویرا کنید .,1
من تقریبا سال میشه ۴۵۲۰ سر رو دار .,1
واقع شفاف صدا نسب مدل قبل کاملا افزایش‌یافته .,2
واقعا از راضی ب نظیره امک عال داره عیب بالا اومدن فلاشه عاد می‌کنید هر لحاظ عالیه .,2
من هارد رو پیشنهاد خرید خوب مناسبیه ول سوکت اصلا خوب نظر میرسه کنده بشه,0
صدا . ضعیف هس مقدار,0
من حدود ۱ سال هس کنسول رو خرید .,1
وقت میخواد هارد باید گیگ رو بخونه ، حداقل ۵۰۰ ۳ ال ۴ دقیقه صبر کنید .,0
لاز میدون چند نکته رو بگ : تو خو دست دوربین شک نکنید هیچ دوربین پا نمیرسه .,2
بله .,1
ایزو ۸۰۰ اوضاع می‌گردد .,0
۲۳ شهریور نظر من مراس معرف آیفون ۵ ، آیپاد تغییر بهتر داشتند .,1
باید اذع دا توجه قیم مدل ، سخت‌افزار بسیار خوب Asha ۳۰۲ قرار داده‌شده .,2
وجود سخت‌افزار مناسب البته راه مختلف اتصال دنیا اینترن مانند ۳ G ، GPRS ، Edge Wi-Fi البته حساس عملکرد بسیار خوب صفحه نما ، مرورگر دنیا اینترن تبل بسیار لذت‌بخ خواهد_بود .,2
درس ه پردازنده دو هسته پ رو iPad ۲ استفاده‌شده .,1
تبل خوبیه وبا مشکل ندار,2
بنابراین دیگر P ۵۲۰ بالا مقدار زو ندارد .,0
ps ۳ پروسسور ۷ هسته داره ، blu-ray پلیر WiFi داخل داره هیچکدومو xbox نداره قیم بالا ps ۳ همین چیزهاس .,1
واقعا فکر نمی‌کرد اپل همچین گوش رو بزنه .,1
درود .,1
فعلا تو دوس کارته حرف اول رو میزنه نظر قیم کارا .,2
مود چند رو دوربین قابل تعویض لنز مفید نیس .,0
صدا متوسط ، کیف صدا تولید شده بسیار شفاف دقیق .,2
شما داشتن گوش هیچوق احساس پشیمان نخواهید_کرد خرید کاملا راض خواهید_بود گوش آینده نیز حرف بسیار گفتن خواهد_دا .,2
مثل : نداشتن دوربین مکالمه تصویر .,0
رزولوشن چشم دوربین ب مدل قبل ارچه اندازه کوچک شده .,2
قسمت مشکل کمک فوکوس دست وجود ندارد یعن عنو مثال اشیا کنترل به فوکوس بزرگ نمی‌شوند .,0
تو آب هیچ مشکل برا پ نمی‌یاد,2
LG نظر من باید رو گوش ب کار می‌کرد اگه بخوا نو ۲ مقایس کن باید بگ نو ۲ خیل بهتره صفحه نمایش سخ افزار بهتره تازه نظر ظاهر نو ۲ خیل قشنگ تره .,1
مثلا ۱۵ ثانیه خیل خوب می‌شد .,0
طوریکه شما میتونید رو اون حت بازی اچ د حساب کنید .,2
نظر من رنگ سفید شیک رنگه ..,2
سلا کاربر طرفدار آندروید اول همه باید نکته کل رو اشاره کن قیاس تبلت آندروید آیپد اپل ، قیاس بیهوده .,0
من تازگ دوربین راخریده کیف تصویر محشره واقعا سوپرزو کار کردن دوربین خیل راحته میتو جزئ خیل کوچک صحنه درعکس گرفته‌اید ببینید من خیل خرید دوربین راضی,2
کا کاتالوگ گوشی آنلاین تو سا,0
نقد کالا : ۱ -اساسی مشکل دوربین وجود باتر قلم جا باتر یون لیتیو استاندارد هس .,0
قبلا تجربه کار سر سون رو دا ارز خرید کیف عکس سون میگیره هزار برابر به دوربینه .,1
پیشنهاد من شما اینه حتما همین مدل خریدار کنید علاوه قیم پایین کیف دوا خیل خوب داره .,2
موضوع می‌تو نظر میز ک نویز گستره ب دینامیک مد نظر قرار داد .,2
حذف لایه نه‌تن باعث افزا چشمگیر کیف تصویر می‌شود ، بلکه براق بودن نیز می‌کاهد امر شما کمک می‌کند راحت بتوانید لپ‌تاپ محیط خارج زیر تاب نور آفتاب کار کنید .,2
موضوع اجرا بازی سنگین باید بگ هردو روان اجرا می‌شوند ایپد هیچ وق هنگ نکرده ایسوس بخاطر سخت‌افزار قدرتمند هنگ نخواهد_کرد دنبال تنوع بازی هستید من شما ایسوس پیشنهاد می‌کن اگه دنبال به تبل دنیا هست بی‌شک Asus Transformer Pad Infinity شما ناراح نخواهد_کرد,2
دوس عزیز من یه مدتیه پدفون ۲ رو تهیه کرد همه چ خوبه زیر لنز دوربین خاک میره,0
عرض ۴۰ دقیقه شارژ میشه .,2
۲. روشنا صفح خیل کمه .,0
اول قرار دادن گوش رو سطوح مختلف احتمال خط افتادن رو شیشه رو لنز بسیار زیاد .,0
امک قابلیت فوق‌العاده جالب داره .,2
لاز ذکر همانند دیگر گوشی مبتن اندروید ۴ ، گلکس اس ۳ نیز زب فارس بطور کامل پشتیبان می‌کند .,2
البته دوربین رو سا تهیه کرد توصیه یک دوستان ، کارشون واقعا راض بود ممنون .,2
خوب نسب C ۲ - ۰۳ Asha ۲۰۰ x ۲ دیگر مدل مشابه اینه نور صفحه نما رو میشه تنظ کرد ول مدل رو اس برد نه !,2
واقعا آد کلافه می‌کنه .,0
همچنین . Raw+JPEG بگیرید ذخیره رو کار حافظه حدود ۸ ثانیه طول می‌انجامد زیاد عکس,0
تن من با اینه باید دو سه شارژ کن !,0
) رو داره لحاظ سخ افزار LG Optimus G E ۹۷۳ تقریبا سطح قرار داره بارز ویژگ گوش داک اون هس میتونید گوش رو تبدیل تبل بکنید هر چند ممکنه احساس یکپارچگ خوب محصولتون نکنید کسان توانا مال تهیه تبل قدرتمند گوش به‌روز رو ندارند انتخاب خوب هس البته دردسر اشتراک سینک کردن اطلاع رو بین تبل گوش رو دیگر محصول نخواهید_دا ویژگ میتونه کمبود پور یو اس ب محصول رو حدود جبر بکنه ظاهر گوش کم شبیه گلگس اس ۳ هس خوب آندرویید ۴ ٫ ۱ طور پیشفرض استفاده کنه کسان برند ایسوس علاقه دارند میتونه انتخاب خوب باشه,1
مشتعل سرع انتقال سریعUSB فل درایو S ۰۰۷ ا دیتا همراه USB ۲ ٫ ۰ مشخصه سرع انتقال بالا ، سرع انتقال میز ۳۰ MB / s خواندن ۸ MB / s نوشتن دست‌یافته ۱۰ ٪ سریع USB ۲ ٫ ۰ فل درایو معمول .,2
حقیق مود Spot metering توانا پوش نورسنج ۴ ٪ مرکز تصویر دارد مود Partial حدود ۹ ٪ پوش می‌دهد .,1
حتما کار داشته ، نظر فقد خیل بد همواره استفاده چشمی اپتیکال زیر شدید آفتاب دوس دار .,0
قابل Direct Call نا دارد ، شما امک می‌دهد هنگا SMS زدن ، نزدیک کردن گوش سم گو ، شخص مخاطب تماس بگیرید قابل بسیار کاربرد .,2
کل مقایسه قیمت خیل عالیه امک خوب داره .,2
وقتی‌که شما فکرتون سم آیفون نرفته حت اون رو لمس نکردید اون کار نکردید ، اندروید دنیا جدید شما ن می‌دهد .,1
فوکوس وجود .,0
همانند مدل پیشین ، نمایشگر دوربین کاملا چرخنده لمس .,2
بمد دوسال آیفون ۴ ۴ اس دا .,1
S می‌باشد تاثیر زیاد اثر لرز دس شما فیلم می‌گیرید جلوگیر می‌کند .,2
وقت هارد ۵۰۰ گیگ بخونه حداقل باید ۳ ال ۴ دقیقه صبر کنید .,0
ویژگ مشترک بین همه کانفیگ‌ها نوت‌بوک ، بهره‌گیر کار گرافیک مستقل ظرف حافظه ۲ گیگابا .,2
پ نقد بررس صفحه نما گوشی ساخ اپل تراک پیکسل ۳۲۶ ppi ، واژه شگفت‌انگیز استفاده نمود .,2
یه رقیب جد داره اس عمل Google Nexus ۷ واقعا موفق Asus کرده خصوص تو قیم .,0
قسم پایین صفحه نما سم چپ دکمه عکس‌بردار صفحه قرار دارد شما کمک می‌کند اشاره قل صفحه نما عکس بگیرید مواقع مختلف کاربرد بسیار داراس .,2
نظر گرفتن تجهیز سخت‌افزار قدرتمند درون بدنه جا گرفته ، بدنه باریک Galaxy S II نوع شاهکار مهندس محسوب می‌شود .,2
گذشته قیمت حتما بالاس .,0
هر صور نظر P ۷۷۰۰ کاملا عال طبق انتظار داشت .,2
دوس توجه کنید هس پردازشگر A ۵ معمار ضعیف هس شخصا تو گوش باز حج ۴۰ مگ رو اندک لگ اجرا کرد .,0
آیفون ۵ من دا عال بنظر من به گوش هس,2
مقایسه امک ایس لایو میشه فهمید سامسونگ پول مارک میگیره تفاوتشون ۰.,1
Sony S دارا صفحه نما فوق‌العاده ۹ ٫ ۴ اینچ تکنولوژ True Black موتور BRAVIA رنگ ب نظیر تولید می‌کند .,2
بالا لنز میکروفون ۵ تا وجود دارد میکروفون استریو جایگیر مناسب وجود دا کنترل بیشتر قرار داده_می‌شد کارا بیشتر دا .,1
پس شما دنبال تلفن همراه دو س کارته هوشمند هستید ، HTC Desire SV نیز جزو گزینه قرار دهید .,1
طبق معمول دوربین سون ، علاوه کارت حافظه SD کارت حافظه Memory Stick Duo نیز پشتیبان می‌شود .,2
: نورگیر بسیار ک شرایط نور ک تصویر بسیار بی‌کیف می‌شود .,0
هرچند باید منتظر ورود دوربین بازار تس عکس ایزو بالا بمان ببین عملکرد واقعا چگونه .,1
من تقریبا ۱ ٫ ۵ ماهه گوش رو دیج کالا خرید .,1
دوربین سرع عکاس پیاپ بالا ارایه نمی‌دهد رزولوشن کامل نهایتا ۱ ٫ ۲ فر ثانیه ۳ می‌رسد عکس ب ادامه پیدا نمی‌کند .,0
هر دو آن کار حافظه SD / SDHC / SDXC نیز پشتیبان می‌کنند .,1
"همانند مدل پیشین قسم بالا دوربین پیچ تنظ مود عکاس قرار گرفته طریق می‌توانید مود اتوماتیک هوشمند مود خلاقانه P,A,S,M انتخاب کنید .",2
دوربین نسب مدل پیشین طرز چشمگیر کوچک سبک شده‌اند طور ۳۰ درصد کوچک ، ۲۵ درصد سبک البته حد زیاد باریک نیز هس .,1
همچنین آپشن فیلم‌بردار ۱۹۲۰ x ۱۲۸۰ ۱۴۴۰ x ۱۲۸۰ ۵۰ فر ثانیه فرم AVCHD همچنین سایز ۱۴۴۰ x ۱۲۸۰ ، ۱۲۸۰ x ۷۲۰ ۶۴۰ x ۴۸۰ ۲۵ فر ثانیه فرم MPEG ۴ وجود دارد .,1
خو دست ۵. تنظ خودکار ۶. کیف عکس بینظیر ۷.,2
باتر توانس سنگین تس ( حداکثر مصرف پردازنده + حداکثر روشنا صفحه نما ) ساع ۱۰ دقیقه شارژ ده کند .,1
تغییر دیگر سراسر بدنه ایجاد شده‌اند شامل مقدار تغییر ساخ بدنه ، طراح چین دکمه البته مقدار دستگیره بزرگ می‌شوند .,1
فیلم‌بردار مثل عکاس کیفیت کاملا عال دارد .,2
ضمن فل ال د آیون تو تاریک میتون بگ اصلا نداره کاربرد !,0
کل ، باید بگو طراح تبل طراح تبلت امروز پلاستیک آلومینیو بودند متفاو می‌باشد نوآور توسط مایکروساف محسوب می‌گردد بسیار دوست‌داشتن .,2
من شرک اپل انتظار بیشتر دا تما امک آیفون ۵ ه امک سامسونگ S ۳ می‌باشد حت امک کمتر دارد مثلا ۴ اینچ حال سامسونگ ۴ ٫ ۸ اینچ تازه محدودیت نرم‌افزار شرک آیفون ایر جا افراد مبتد مثل من خیل دردسرآور قیم دلار امروز سرسام‌آور داشتن عدد گوش آیفون ۵ یک دیگر محصول اپل ما قشر متوسط متوسط پایین واقعا خواب خیال تبدیل‌شده حرف بگذر کل گوش خوب شرک اپل همیشه دو پله شرک ساسونگ جلو همچنین ثروتمند بوده_اس من تعجب می‌کن آیفون پنج ۵ شاهکار سال تبدیل نکرد انتظار طرفدار خود نادیده گرفته قدر علم شرک اپل همین بوده_اس البته شرک اپل قبل رونما آیفون پنج ۵ شایعات درباره آیفون ۵ وجود دا تکذیب می‌کرد بعدا معلو حرف واقع هستند,0
من ۲ روزه خریدم واقعا حرف نداره,2
طبق استاندارد کمپان اینتل مفهو Ultrabook مشخص کرده_اس ، اینکه لپ تاپ جزو آلترابوک محسوب گردد ، باید حافظه داخل نوع پرسرع SSD باشد .,1
پیشرف فقط ۱۷۶ ردیف پیکسل اضافه‌شده نیس .,1
صفحه نما زیر نور خورشید تعریف نداره کار کردن با سخ میشه .,0
چیز همواره ناراح کاربر همه بودند گوش مثل iPhone تو دا .,0
نسب سامسونگ همرده یه سر گردن بالاتره وا فا خیل قو داره .,2
درضمن گوش پیش‌فرض Android ۴ ٫ ۰ استفاده می‌کند .,1
من خیل گوش هارو تس کرد .,1
دیگر امک خیل شبیه دیگر دوربین Bridge پیشرفته می‌باشد .,1
حال تصور ما هنگا استفاده زو ۳۰ برابر ، خصوص وقتی‌که دلیل شرایط نور هر چیز دیگر ، سرع شا پایین ، به سه پایه استفاده کنید .,1
• گوش وجود گوش کاربر امک می‌دهد هنگامی‌که مشخصه XBOX Live دیگر دوس حال باز ، بتواند طور همز آن صحب کند .,2
"گوش UMTS, GPS, WiFi, Bluetoothمجهز باند فلز دور گوش واقع آنتن آن گرفتن به سیگنال می‌باشند .",2
مورد باتر این‌که باتر قلم میخوره ول مد ز عکس‌بردار بالا داره این‌که تس باتر معمول ( آلکا ) استفاده کرد مد خیل طولان جواب داد مساله نشان‌گر جا باتری باتر شارژ ( مثال نیکل ۲۳۰۰ ) استفاده کن خیل طولانی میتون با عکاس کن مورد دکمه : دکمه خیل روان داره مخصوصا دکمه روشن خاموش من مورد اون نگر بود ول جا نگران داره اون مورد دکمه مربوط زو هس : زو دست نداره خیل دکمه استفاده بشه قرار باشه کودک اون رو استفاده کنه ممکنه زود خراب بشه,0
رابط کاربر دوربین نیز همانند سر HTC One بوده دکمه عکاس فیلم‌بردار کنار قابل‌مشاهده هستند .,1
رزولوشن مانند پایینه حال تبلت ۷ اینچ خوب صفحه Ainol novo ۷ venus nexus ۷ .,0
"دوربین علاوه شوتینگ مود Full Auto شوتینگ مود P,A,S,M می‌باشد مخصوص حرفه‌ای‌تر کسان می‌خواهند خلاقانه عکاس کنند تسلط بیشتر رو تنظ نورده دوربین داشته_باشند مناسب .",2
حرف نداره توجه اینکه دوربین فل نداره ول تو روز عال,2
به نمیتونید پیدا کنید,2
( البته دوستان زیاد انگلیس وارد نیستند توصیه نمی‌کن گوش بخرند انگلیسیتون خوب نباشه تن استفاده میشه اون کرد همون جواب دادن تماس فرستادن اس اس خواهد_بود !,0
• جمع بندیمی‌تو تقریبا این‌گونه جمع‌بند کرد تبل برادر Transformer Pad Infinity محسوب می‌گردد سیستم‌عامل Windows ۸ RT ارائه گردیده .,1
نوکیا Asha آمده_اس بازار خیره کند .,2
کیف عکس فیلم واقعا سطح بسیار عال هس شک نکنید .,2
: ۱ - باتر قابل تعویض نیس .,0
توصیه رابط مثل من بین گوش s ۳ موندن ؛ کیف تصویر گوش بسیار پایین تراز s ۳ هست ، کساییکه کاربر S ۳ خیل بهتره .,0
دلیل توانا تولید چنین بزرگنما زیاد می‌تواند لرز دس ، عکس گرفته‌شده تاثیر زیاد داشته_باشد راحت مقدار کم باعث طور کل تار شدگ عکس شود .,0
ضمن درایور بلوتوث رو نصب کرد بلوتوث کار نمیکنه باز تکرار می‌کن واقعا ارز خریدن داره .,1
تفاو اصل دوربین مدل معمول ، نمایشگر دو ۱ ٫ ۵ اینچ .,1
ول کل ارز خریدشو داره .,2
بنظر من تبل کاملا مهندس شده معقول هس .,2
آیا روز کاف نیس !,1
من ال ۲ کا دارم میشه اون کیف بسیار عال ۱۲۵۰ برگ پرین گرف قاط قو : سریع دقیق زیبا شیک کیف عال تعداد ۱۲۵۰ برگ پرینتو همچنین ساخ کشور اصل یعن ویتنا .,2
کاور پشت تبل جنس پلاستیک تیتانیوم ساخته‌شده کیف بسیار خوب داشته دلیل اینکه اثر انگ جذب نمی‌کند ، همیشه ظاهر تمیز حفظ می‌کند .,2
آموز مالتی‌مدیا نرم‌افزار کاربرد : گردو ۱۴ نیز همانند نسخه قبل شامل مجموعه آموزش مالتی‌مدیا نسخه نیز شاهد مجموعه آموزش ویندوز ۸ آموز مالتی‌مدیا نرم‌افزار کاربرد خواهید_بود .,1
متاسفانه کیف فیلم‌بردار دوربین VGA ضعیف اصلا جا دفاع باق نمی‌گذارد .,0
پردازنده دو هسته Snapdragon کار رفته گوش دارا قدر پردازش گیگاهرتز ۷۶۸ مگابا حافظه RAM نیز نظر گرفته‌شده .,1
خیلی پایین قضیهء خیل مهم هس نظر بنده گوش اندازهء صفحه رزولوشن ارز خرید نداره البته شاید رزولوشن گوش خوش بیاید ول من .,0
مخصوصا تراک پیکسل بسیار بالا داره .,2
نسب قیمت عالیه .,2
