text,true_label,predicted_label
تن تفاو HS ۹۰۰ SD ۹۰۰ دوربین دیگر پاناسونیک هس نیز SD ۹۰۰ حافظه داخل ندارد .,Neutral,Negative
بعلاوه نمایشگر ۳ اینچ نیز نوع لمس Resistive .,Positive,Neutral
این مواردیس باعث می‌گردد Note ۸ نیز همانند مدل بزرگ یعن Note ۱۰ ٫ ۱ یک به انتخاب طراح تبدیل گردد .,Positive,Neutral
ول اکنون گوشی هوشمند نسب چه سال ۲۰۱۰ بوده‌اند بزرگ شده‌اند ۳ ٫ ۵ اینچ نظر می‌رسد بین آن . باشد کوچک,Negative,Neutral
گوش خوبیه ول نسب کارا به‌صرفه نیس,Neutral,Negative
Xperia V طور پیش‌فرض سیستم‌عامل اندروید نسخه ۴ ٫ ۰ استفاده می‌کند رابط کاربر انحصار سون مزین شده_اس .,Neutral,Positive
چشم دیجیتال من راضی‌کننده رو دوربین .,Negative,Positive
بعد اینکه مدت کار می‌کنید ، می‌بینید طور قبلا نظر می‌آمد نیس حس خوب خواهید_دا .,Positive,Negative
مورد ظاهر گوش مقایس نو ۲ برخلاف شما نمیخوا بگ بهتره اون نظر شخصیه جمله ظاهر نو ۲ مدل خیل بهتره وقت درسته شما هردو مدلو نزدیک ببینین نو ۲ ظاهر اس ۳ فرق می‌کرد جدید خلاقانه !,Neutral,Negative
باتر حد متوسطه گوش نمیشه گف سون قدرتمند کرده .,Negative,Positive
ضمن دلیل بهره‌گیر لرزش‌گیر اپتیکال تصویر Power O .,Neutral,Positive
کیف ساخت تکه .,Positive,Negative
قیمت دیج کالا میده قابل‌مقایسه بازار نیس سپاس فراو دیج کالا .,Neutral,Negative
یک‌بار شارژ کامل باتر استفاده مداو باتر ۳۸ ساع دوا آورد .,Positive,Neutral
سابقه کمپان ساخ گوش ، من خود طرفدار برند اسوس هس وقت پدفون رو تولید کرد واقعا لذ برد ول اکنون وق خرید اسمار فون اسوس سون نیس !,Negative,Positive
فقط فل هربار روشن کردن دوربین بیرون میاد کا امکانو زمان دوربین حال عکاس فل قرار میدادن .,Neutral,Negative
طراح ساخ باریک سبک iPhone تولید شده امروز .,Positive,Neutral
یک دیگه اخرشه .,Positive,Negative
شاید تن نقطه‌ضعف صفحه نما بتو زاویه دید عمود محدود دانس طور کم بالا پایین صفحه نگاه کنید ، اف چشمگیر کیف تصویر مشاهده خواهید_کرد .,Negative,Positive
اون اینه صفحه گوش حد اقل ۴ اینچ هیچ کدو گوشی سامسونگ پا نمیرسیدن .,Neutral,Negative
ضمن جاوا بودن افراد جوان فاصله گرفتند فرص گریز اندروید آ او اس ندارن ساده راح .,Positive,Negative
با کار کرد درسته داغ میکنه ول امکانات رو داره باید داغ کنه اگه این‌طور نباشه باید به شک کرد .,Neutral,Negative
البته به گوش آیفون پدیده کاملا جدید نیس ، بلکه همانطور گفت شانه پادشاه قبل یعن iPhone ۴ قرار گرفته_اس گو ۴ s فقط آپگرید رو iPhone ۴ می‌باشد .,Positive,Negative
من ۵ ماهه گوش دار واقعا از راض هس ، ، ، فقط بعض مواقع تو اجرا بازی ساده ک میاره ، ، ضمن دکمه بازگشت ، ، اگه زیاد با کار کن ، ، هنگ میکنه ، ، اندروید آپد کرد ، ، درس نشد,Neutral,Positive
جواب جناب بیگ زاده اشکال گرفتن نسخه شماره ۴ آندروید ، شما س کارت ایر امک استفاده wifi رو تنظ دلیل تحر حت رو حال پرواز ، باز گوش تشخیص می‌ده سیم‌کار شما ایر هس wifi رو .,Negative,Neutral
سخت‌افزار معرکه دا معرکه شده وجود ر ۲ گیگ دیگر آیفون رقاب خط خورد,Positive,Negative
نمیدون شاید نرم‌افزارتون خرابه شاید سخت‌افزار مشکل داره .,Neutral,Negative
دوربینیه عمر دید .,Neutral,Negative
همچنین ، گوش قابل پشتیبان Wi-Fi ، GPRS Edge داراس کاربر امک مرورگر اینترن نیز می‌دهد .,Positive,Neutral
ضمن M رده بدون آینه لنز قابل تعویض شیبه SLR نبود نوع Range Finder .,Neutral,Negative
البته پیشنهاد همه دوس اینکه حتما گوش رو سیم‌کار رایتل تس کنن لذ واقعیه کارکردن گوش رو بچشن .,Positive,Neutral
نظر ۳ - داره : ۱ مشکل دوربین فل نداره .,Negative,Positive
گوش شیک وباکلاس چند مشکل اساس داره اول اینکه آلمینیو دور گوش بعد ۱ ماه شروع دون دون شدن میشه تو لنز دوربین بعد استفاده چند ماه خاک گرفته میشه واین غیر عالیه تحمله مورد بعد اینکه رو صفحه نما پد حال خامو دوتا دایره اندازه استک جلب توجه میکنه من Asus PadFone ۲ کار کرد واقعا سرع فوق‌العاده داره کیف اون خیل خیل قابل,Negative,Positive
وضوح آیکون ویجت خیل .,Negative,Positive
وجود اینکه مایکروساف بصور سیستم تکنولوژی ClearType Optical Bonding جه نما به متون استفاده می‌نماید ، حال متون آیپد جدید خوانا به نما داده_می‌شوند .,Neutral,Positive
همین دلیل ، کاربر Sleekbook ز بیشتر صرف تمیز کردن نو بوک سپر خواهند_کرد .,Negative,Neutral
همینطور اپل برتری دیگه نسب گوشی اندروید داره یه سر برتری اندرویدی نسب اپل دارن مثلا باید واقع‌بین باش تو کشور ما نمیشه حت ۸۰ ٪امک نرم‌افزار اپل استفاده کرد تقریبا بسادگ میشه ۱۰۰ ٪امک گوشی اندروید لذ برد .,Neutral,Positive
یک به نقاط قوتشه ) -- دارا سیس امن نسبتا قو ( پسورد انتخاب شما ه میشه توسط دیگر قابل بازخوان نباشه .,Positive,Negative
وجود اینکه دق بالا ، نق مهم کیف صفحه نما باز می‌کند ، تکنولوژی دیگر استفاده‌شده صفحه نما Retina MacBook Pro باعث شده_اس کیف صفحه نما لپ‌تاپ ، اختلاف زیاد تما لپ‌تاپ موجود دنیا تاریخ ب شود .,Positive,Neutral
جذابیت فراو باعث گردیده تبل جالب تبدیل گردد ، هر حال باید بپذیر تجربه اول مایکروساف ، بدون نقص نیس باید منتظر انتشار تبلت بعد کمپان ( حداقل Surface Pro ) باش بتوان لذ داشتن تبلت-لپ تاپ نیز تجربه نما .,Negative,Positive
فقط ابعاد کوچیکتره .,Neutral,Positive
ظاهر مکعب کاملا حفظ‌شده .,Neutral,Positive
شاید صفحه نقطه‌ضعف تن نما بتو زاویه دید عمود محدود دانس طور کم بالا پایین صفحه نگاه کنید ، اف چشمگیر کیف تصویر مشاهده خواهید_کرد .,Negative,Positive
متاسفانه خلاف مدل پیشین ، PadFone ۲ دارا کیبورد جداگانه نبوده نمی‌تو عنو ن بوک استفاده کرد موضوع ممکن باعث شود تعداد دارندگ مدل پیشین ، تمایل ارتقا PadFone ۲ دس بدهند .,Neutral,Negative
من حاضر نیس نه t رو بخر نه tx بلکه acro s رو ترجیح مید !,Negative,Neutral
عرض سلا اول دیج کالا بعد تما کاربر خوب فروشگاه من گوش ۷ ماه پ دیج کالا خرید .,Neutral,Positive
نظر من ایکس و اس‌تر خیل سرترن,Neutral,Negative
البته سادگ معنا زیبا نبودن گوش نیس ، کل طراح L ۷ II L ۷ هیچ شباهت ندارد .,Positive,Negative
من حدود یکساله دوربین رو خرید همه چیز عالیه فقط بالا اومدن خودکار فلاش یه ک نامناسبه,Neutral,Positive
من گوشیو خرید نمیدون چجور کیبوردشو کن .,Negative,Neutral
هر صور همانطور گفت ، ۱۰۰ D کوچک دوربین DSLR  ساخته‌شده نظر قواره تفاو زیاد نسب بدون آینه- لنز قابل تعویض سطح حرفه ندارد .,Positive,Neutral
یکه‌تاز مدتیس خبر نیس .,Negative,Neutral
بنده خود هدف تبل ، ول دید تبل خام قدر نمی‌تون تهیه کن !,Positive,Negative
تو وزن ضخام آیپد مین سرتره .,Positive,Neutral
اینکه زوم بالا لزوما سه پایه نیاز هس صحیح نیس هرچند استفاده حداکثر زو سه پایه عالیه میشه سرع ب شا کمک گرفتن عکاس پیاپ نبود سه پایه رو جبر کرد .,Neutral,Positive
بلکه تفاو جاییس صفحه نما طیف sRGB کاملا پوش می‌دهد باعث می‌گردد دق رنگ بالا برود .,Neutral,Positive
گوش مارک نامدار نیس خیل ارزونتره,Neutral,Negative
اگه بشه میخوا تابستون یک بگیر,Positive,Neutral
ه پردازشگر جدید رو دوربین سال ۲۰۱۲ شرک مثل S ۱۰۰ G ۱ X کار رفته .,Positive,Neutral
جز مود ، HX ۳۰ v خوشبختانه مود Program Manual Exposure بهره می‌برد .,Neutral,Positive
هر گاه کوچولو تیک میزنه توجه قیم اصلا مه نیس .,Neutral,Positive
کلا ذ پلاسما اینطور هس داغ میکنه ؛ ول مدل مختلف سامسونگ ب داغ می‌کنند همین خاطر توصیه می‌کن دنبال تلویزیون پلاسما هستید برند پاناسونیک رو انتخاب کنید معرف کننده تکنولوژ پلاسما هس ، کیف مناسب داره تن ایراد پلاسما مصرف بالا حدود ۳۰۰ و هس .,Neutral,Positive
دوربین فوق العادده مشکل سا به اشاره کرده چیز نیس مه مشکل اینکه تو حال فیلم‌بردار وقت زو می‌کن صدا بزرگ شدن لنز رو فیل می‌افتد .,Neutral,Negative
Elph ۵۲۰ HS مجهز لنز ۲۸ - ۳۳۶ میلی توانا زو اپتیکال ۱۲ برابر .,Positive,Neutral
ضمن ، قاب دور تبل مقدار ضخ طور باعث گردیده دستگاه دستگاه مشابه مقدار بزرگ باشد .,Neutral,Negative
سلا ، اول درپاسخ رضا عزیز باید بگ غیر محصول اپل بعض محصول دیگه نانو س استفاده می‌کنند مشکل نیس حل میشه ، آیفون ..,Positive,Neutral
تن مشکل دو سیم‌کار بودنه بعضی خوب نیس,Positive,Negative
کارکردن با نوکیا سخ تره ، امکانات خلاصه تره .,Negative,Positive
برنامه Gmail نیز کم تغییر کرده امکانات مانند زو دو انگشت حرک Swype حذف کردن ایمیل اضافه‌شده .,Positive,Neutral
به کاتریج یدک خریدار شود هیچ زمان دچار مشکل نشوید .,Neutral,Positive
بدین صور شما اجازه می‌دهد اشاره کوچک نوک انگ هر عمل خصوص بزرگ کوچک کردن مقاطع مختلف صفحه انجا دهید .,Positive,Neutral
دوربین خیل خوبیه کیف عکس fz ۱۵۰ بهتره,Negative,Positive
مشخص اصل البته کم قابل ب دیزایر ایکس دوربین جلو نداره دوبرابر قیم داره .,Neutral,Negative
سامسونگ بزرگ زیاد گوش صفحه نما کوچک یه اندازه گوش نو نزدیک کنه ابعاد مناسب گوش قابل قبولتر می‌شد همینطور وزن کم زیاده میتونس کم ساخته بشه قابل دو سیمکارته تو خوبه,Negative,Positive
همانطور گفت ، دیگر پیشرف دوربین نسب مدل پیشین ، بهره‌گیر پور PictBridge مربوط می‌شود .,Positive,Neutral
بدین صور عکس ۱۲ مگاپیکسل عرض ۲ ثانیه رو کار حافظه ذخیره خواهد_شد .,Positive,Neutral
به نقاط قوت میشه گف : ۱. سبک ۲.,Positive,Neutral
گوش خوب کامل هس نسب قیمت عالیه فقط تن مشکل داره صداشه خیل ضعیفه .,Neutral,Positive
توضیح تعداد برنامه پیش‌فرض سامسونگ باید بگو برنامه S Note برنامه ایس شما طراح کار تعداد قالب پیش‌فرض کمک می‌کند می‌توانید آن قالب فایل PDF ذخیره نمایید .,Positive,Neutral
بسته آموزش نرم‌افزار کاربرد می‌توانید شاهد آموز پرکاربرد نرم‌افزار کاریرد سیستم باشید .,Positive,Neutral
تغییر دیگر سنسور تصویر بوده ۱۴ مگاپیکسل ۱۶ مگاپیکسل افزایش‌یافته .,Positive,Neutral
بعد متوجه میشید اپل چه غول رو داده بیرون !,Positive,Neutral
البته دیدن ب گوشی خانواده نو ذهن تداع خواهند_شد .,Neutral,Positive
نرم‌افزار یک نقاط قو گوش دو س کارته ، بهره‌گیر نسخه ۴ ٫ ۰ ( Ice cream Sandwich ) سیستم‌عامل اندروید .,Positive,Neutral
دوربین دوربین عکاس امک فیلم‌بردار قوی ذ سون باز می‌گردد دوربین فیلم‌بردار حرف اول می‌زند .,Positive,Neutral
ظاهر دوربین کاملا کلاسیک کاملا کف دس جا می‌شود .,Positive,Neutral
خطا رنگ بنف نیز عکس گرفته‌شده نسب چه دوربین SX ۳۰ IS می‌دید بسیار ک .,Positive,Negative
آیپاد تاچ ۴ نازک سبک راح می‌افتاد معمولا صفحه  می‌شکس ( مثل مال خود !,Neutral,Negative
من خود مک بوک پرو دار امروز فهمید من هیچ اپل نمیشه اگه براتون ممکنه اونجا می‌تونید سخت‌افزار کیف استفاده کنید !,Neutral,Positive
یعن گوش K ۹۷۰ دار دوربین ۵ مگاپیکسله .,Positive,Neutral
همچنین امک شماره گیر خودکار دیگر ویژگی دستگاه .,Neutral,Positive
سیم‌کار میخوره,Positive,Negative
ضمن ورود تکنولوژی جدید عمر کنسول خیل زود پا می‌رسد منظور من بلورا پر هزینه بی‌مصرف نسل کنسول جدید بکار می‌رود گیم جدید سال ات حج بیشتر سخت‌افزار گرافیک پردازش جدیدتر احتیاج دارد یعن عملا کل سیس کنسول باید تعویض گردد !,Negative,Neutral
بله تبلت داره میاد حتما درد میخوره برا اینکه تبلت جدید اندروید عقب نمونه باید استانداردهاشو بالا می‌برد .,Neutral,Negative
باف غن واضح تصاویر فول اچ د تجربه کنید ، برنامه تلویزیون فیلم دلخواه  دیگر هرگز مانند گذشته نخواهند_بود .,Positive,Neutral
فقط طراح قدیمیه .,Negative,Neutral
همانطور اشاره کرد تقریبا تن تفاو HX ۲۰ v نیز لنز توانا زو ک می‌باشد البته بزرگنما ۴ برابر خیل تفاو زیاد نیس ول هر صور اختلاف قیم ایجاد کرده_اس .,Neutral,Negative
شما میگین سنسور فلانه ، ابعاد بیسانه ، نویز امانه ..,Neutral,Positive
شاید بتو یک دلایل اصل وزن ک گوش نیز همین جنس بدنه شمار برد .,Positive,Negative
مجموعه گردو ، نرم‌افزار متناسب انتخاب می‌شوند تما نیاز تخصص عموم کاربر پوش می‌دهد .,Positive,Neutral
اکنون ۱۰۰ D تن ۴۰۷ گر وزن دارد حالیس ۷۰۰ D وزن تقریبا برابر ۵۸۰ گر ارائه می‌کند .,Positive,Neutral
چه متن ، چه گرافیک چه عکس برتر دیده_می‌شود .,Positive,Neutral
من خود سا شخص دار فروشنده محصول اینترن هس ول جدا خرید دیج کالا لذت‌بخ .,Positive,Neutral
سرع تقریبا برابر دوربین ۵۵۰ D ول بسیار سرع پیاپ دوربین ۷ D بهره‌گیر دو پردازشگر تصویر DIGIC توانا عکاس پیایپ ۸ فر ثانیه .,Negative,Positive
البته شارژ ده مراتب بالا به گوش  مثل آیفون ۵ داره بعض موارد بار سو روز مجبور شارژ کردن می‌شوید !,Positive,Negative
کلا گوش ال پره .,Neutral,Negative
نوکیا ۵۰۰ مجهز دوربین ۵ مگاپیکسل فوکوس خودکار می‌باشد فلا ندارد .,Neutral,Negative
همچنین مجهز لنز توانا زو اپتیکال ۱۸ برابر نیز می‌باشد .,Positive,Neutral
همه چ عال ول باطر ضعیفه مدا شارژ میخواد ول کیف عکسا توپه .,Neutral,Negative
بقیه امک نسل سو رو داره .,Positive,Neutral
مشکل بک خوردن گوش هنگا داغ شدن آپد کردن گوش برطرف,Positive,Negative
نظر من تبل خوبیه زمان من اینو دا : برا,Negative,Positive
صفحه نما قسم گوش جائیس سامسونگ تغییر عمده توانسته قیم گوش کاه دهد .,Positive,Negative
کل ، جنس بدنه تبل بی‌اغراق بر بین ۷ اینچی می‌دان .,Positive,Neutral
مقایسه بین گوش tx دا نتیجه رسید اینو بخر قابلیت جا ذکر نشده ول داره : small apps usb on the go dlna --------- برخ مزیت ضعف : اندازه صفحه نما نسب tx کوچک تره میتونه بسته نظر هرکس مز باشه ضعف .,Neutral,Negative
نصب درایور ویندوز مقدار دردسر داره ) من قیمت گرف دیج کالا واقعا تو ایر هیچ جا قیم نتونس پیدا کن البته پیشنهاد شگفت‌انگیز خورده_بود,Neutral,Positive
طرف مقابل واقعا ب میشه اصلا جالب گاه خیل متوجه نم هنوز نتونس به کن شاید دلیل اینه قبلا گوش سون اس استفاده می‌کرد ، واقعا کیف مکالم عالیه مقایسه هیچ وجه نیس .,Negative,Positive
ویژگ می‌تواند بسیار وظایف کار آید مانند ارسال پیا متن ، پیدا کردن محل مانند رستور هر محل دیگر ، تنظ ساع تنظ ز زنگ زدن ساع هر وظیفه دیگر بخواهید .,Positive,Neutral
تلسکوپه !,Positive,Neutral
مشخصا فیلم دوربین نویز ک ، حساس ب نور رنگ غلیظ‌تر دارند .,Positive,Negative
تغییر زیاد نسب اس ۲ معمول نداشته فقط یه اپد نرم‌افزار اندروید ۴ ٫ ۱ داره سامسونگ خواسته فرو گوش اس ۲ رو همواره بالا نگه داره گوش رو معرف کرده همون گوش ول اسم متفاو البته حافظه ذخیره‌ساز متفاو,Negative,Neutral
کمینه فاصله فوکوس مود ماکرو نیز ۱۰ البته خوب .,Negative,Positive
آینده روشن سون تو راهه وقتی‌که راهشو اریکسون جدا کرده,Positive,Negative
چه شانس آورد خرید I love U digi kala,Positive,Neutral
حقیق لپ‌تاپ امک سخت‌افزار ، معمولا گران هستند .,Neutral,Negative
مثلا پور جوریه رو هارد یه USB .,Negative,Neutral
مورد درایور  باید بگ درسری جدید د و د درایور رو گذاشتن .,Positive,Neutral
فولhd پخ نمیکنه .,Negative,Positive
انتخاب خیل سخ شده !,Neutral,Positive
ول باز از خو میاد البته نه اندازه noteII,Positive,Negative
جیو حت یه کلیپه ۷۲۰ نمیتونه باز کنه !,Neutral,Negative
حت مصارف سنگین ، GALAXY Tab ۲ می‌تواند حداقل روز کامل شارژ ده کند .,Positive,Neutral
اگه pin رو رو فعال کرده_باش روز یک دو بار از pin رو میخواد .,Negative,Neutral
ضمن ورود تکنولوژی باید عمر کنسول خیل زود پا می‌رسد منظور من بلورا پر هزینه بی‌مصرف نسل کنسول جدید بکار می‌رود گیم جدید سال ات حج بیشتر سخت‌افزار گرافیک پردازش جدیدتر احتیاج دارد یعن عملا کل سیس کنسول جدید تعویض گردد !,Negative,Neutral
شما می‌توانید عکس گرفته‌اید صور بیس گوش هوشمند ، تبل لپ‌تاپ منتقل کنید اینکه پرین مستق پرین ارسال نمایید .,Positive,Neutral
روشنا صفحه نما بسیار رضایت‌بخ ول آنجا صفحه کاملا براق ، نمی‌تو راحت شرایط نور قو ( مثل فضا بیرون زیر نور آفتاب ) کار کرد .,Neutral,Negative
فقط کسا بخرن عکساشون اهم میدن آلبوم عکس خسته شدن دوس دارن کل عکسا دارن رو بریزن تو دستگاه مثل قاب عکس میمونه .,Neutral,Negative
"cpu,ram , s pen اونو یه سر گردن ipad حت بقیه تبلت بالا قرار میده .",Positive,Neutral
ستاپ باکس قابل پخ تمام کانال دیجیتال صدا سیما دارد می‌تواند برنامه رو فل هارد اکسترنال ضبط فایل رایج موسیق ، عکس فیل پخ نماید .,Positive,Neutral
صفحه‌کلید دیگر نیز تبل ساخته‌شده Type Cover نا دارد خلاف مورد قبل صفحه‌کلید مجاز واقع خازن اختیار کاربر قرار می‌دهد ، یک صفحه‌کلید واقع کلید فیزیک کار کاملا حس کار لپ‌تاپ کاربر منتقل می‌نماید .,Positive,Neutral
فقط باطر توجه دوس بودن .,Neutral,Negative
۶۸۰ گرم نیز وزن تقریبا زیاد تبل محسوب می‌گردد .,Negative,Positive
شارژ بی‌س ( تکنولوژ تازه محسوب نمی‌شود لومیا ۹۲۰ نوکیا دیده_بود ) خلاصه من iphone ۴ s محصول سال پ شرک اپل محصول چند روز پ گوگل الج ترجیح می‌ده !,Negative,Neutral
مک قرار گیر اصلا دوس نداشت ترجیح می‌داد جا کناره قسم بالا دستگاه قرار داشته_باشد .,Negative,Neutral
